context,seed,training_pair,w_A_from_A,w_A_from_B,w_B_from_A,w_B_from_B
AB_context,11,250,0.12440164384279577,0.0,0.19730678083552675,0.12435009788536028
AB_context,11,275,0.12440194565942335,0.002448614235525729,0.2024667319571938,0.12434777634466823
AB_context,11,300,0.12440473037086804,0.0,0.20965276362163462,0.12434170290515
AB_context,11,325,0.12440282110486837,0.002525898853622249,0.2085584571116583,0.12434500844260077
AB_context,11,350,0.12440690023435422,0.0,0.2108661968567981,0.1243379331600456
AB_context,11,375,0.1243956557237932,0.015028105037917532,0.19289396937388043,0.12435950979838631
AB_context,11,400,0.12440328787440076,0.0,0.19741145230397034,0.12434767371248015
BA_context,0,0,0.0,0.0,0.0,0.0
BA_context,0,25,0.12245830848127907,0.1592574547154072,0.003024494915562826,0.12312835218979352
BA_context,0,50,0.12430600755694947,0.20820460742322675,0.0,0.12439602649208685
BA_context,0,75,0.12435244934399688,0.20417346086454116,0.015151480231181126,0.12439806396420706
BA_context,0,100,0.12435058220586148,0.1985306155154477,0.0,0.1244011080170777
BA_context,0,125,0.12435286218605023,0.19625158726182707,0.013317810635437065,0.12439918840380176
BA_context,0,150,0.12435048106024786,0.20072371248982362,0.00900924986041717,0.12440074224877948
BA_context,0,175,0.1243369106526269,0.21076494723908684,0.0,0.12440745353049265
BA_context,0,200,0.124347005634132,0.2003208423204826,0.0,0.12440291999195512
BA_context,0,225,0.12434340005645252,0.2067370620597725,0.0,0.1244041605855873
BA_context,0,250,0.12435239404707496,0.2019355987436618,0.009588113420807624,0.12439924916608636
BA_context,0,275,0.12435063743887015,0.2016749701924518,0.001389221350414584,0.12440058450369548
BA_context,0,300,0.12434997447860846,0.1974304488081877,0.0034836845263684687,0.12440210135015028
BA_context,0,325,0.12434008060472732,0.2075804330594656,0.0,0.12440609956893016
BA_context,0,350,0.12435842253424469,0.1900238762927784,0.015469725870429432,0.12439719976841868
BA_context,0,375,0.1243374235779161,0.20885183665909757,0.0,0.12440740608355201
BA_context,0,400,0.12434445188420921,0.20624801919118935,0.0,0.12440393543095761
BA_context,1,0,0.0,0.0,0.0,0.0
BA_context,1,25,0.12245427117870658,0.16187371747728935,0.0,0.12313357226690948
BA_context,1,50,0.1243129460907369,0.19996981187113777,0.0,0.12439388584275418
BA_context,1,75,0.12433473642419138,0.21317722820811083,0.0,0.12440787885732935
BA_context,1,100,0.12436553194290194,0.19241653391356478,0.0259126754746678,0.12439100312126261
BA_context,1,125,0.12434436823162835,0.20562526631368797,0.0,0.12440369300148629
