preset,plasticity,n_fig,seed,w_ff,w_gg,w_fg,w_ff_over_gg,assembly_drive,E_fig_figure,E_fig_cloud,E_gnd_figure,E_gnd_cloud,tm_fig_figure,tm_fig_cloud,tm_gnd_figure,tm_gnd_cloud,rec_fig_figure,rec_fig_cloud,rec_gnd_figure,rec_gnd_cloud,inh_fig_figure,inh_fig_cloud,inh_gnd_figure,inh_gnd_cloud,net_fig_figure,net_fig_cloud,net_gnd_figure,net_gnd_cloud
selective,plastic,8,7,0.01083080356024911,0.00833285801874755,0.007822097333470241,1.2997705632187173,0.07581562492174376,2.3097000040623574,2.7950990988055575,2.6814846758279858,2.707747764219993,6.949512935054852,7.641812835041273,7.28685381251032,7.545209056247714,0.3241108806371657,0.22677328358087068,0.20258961232415737,0.21104911590302974,4.007123131694712,3.980782455388374,3.7506684009136526,3.9740512293394774,3.266500683997305,3.887803663233769,3.738775023920824,3.7822069428112655
selective,plastic,10,0,0.011414294714408864,0.008369086453720228,0.007889299327985808,1.3638638789942217,0.10272865242967977,2.567013517810728,2.735535696660344,2.666125169497539,2.707294199976574,7.371769440893471,7.528553563994285,7.2827970085769635,7.542709962703735,0.4114891181441602,0.24218703349718634,0.20139480833224382,0.20745466274013577,4.123124629098077,3.974035009811618,3.7781051314989953,3.9744229899362105,3.6601339299395526,3.7967055876798534,3.7060866854102117,3.77574163550766
selective,plastic,10,1,0.011398299252790246,0.00840902491619021,0.007680270198282302,1.3554840622299351,0.10258469327511222,2.641768935465347,2.6343055764176326,2.644740277111542,2.6951120103475072,7.607386155392502,7.344371223995371,7.259788643435523,7.479178897199181,0.4092505601283302,0.23354978427537532,0.19712835107510412,0.20516128247866408,4.249341325053506,3.918625521273006,3.76010951857083,3.9387629859823776,3.767295390467325,3.6592954869977383,3.6968074759397966,3.745577193695469
selective,plastic,10,2,0.011301589519092138,0.008412548316620406,0.00765362421331914,1.3434204587882064,0.10171430567182924,2.555263087411286,2.6570299397827273,2.6162606295311037,2.711556145125426,7.440402126538421,7.398555043733829,7.207488257592837,7.51441727527291,0.39228931058055155,0.23550334201143638,0.19834944314063802,0.2068709672743247,4.250694009045084,3.9335183965595775,3.787077973569385,3.9397677215473275,3.58199742807389,3.70053998918569,3.618759727164091,3.7815205209999077
selective,plastic,10,3,0.011407535331034922,0.008367319261885891,0.007792508951619048,1.3633440979116893,0.10266781797931429,2.4849756874020974,2.6710458513925586,2.6270004810547865,2.701048154143474,6.99735588410929,7.43773611726561,7.231468097742197,7.510159834081369,0.3971768749573107,0.23988367269425853,0.19775354873778198,0.20638625611982916,4.180556670534299,3.9375806304006,3.7668276605774027,3.947076591247795,3.2139760885323017,3.740039159559269,3.6623939859025767,3.769469498953402
selective,plastic,10,4,0.010710006490313093,0.008399193083288296,0.0077255975448125855,1.275123262926599,0.09639005841281784,2.2834152764186357,2.7616147772718005,2.6849337174474313,2.6997327392220734,6.859805735358414,7.614491066130483,7.290168627605129,7.524421523526779,0.3551979782996226,0.22947718281248317,0.20112834313220432,0.209407789592426,4.111335886309861,3.972165291119451,3.716669624588847,3.962608286549064,3.103667827348176,3.871802957823513,3.774627346148487,3.771221026570143
selective,plastic,10,5,0.011455256654876164,0.008378809391443386,0.007671251793475924,1.3671699784189517,0.10309730989388548,2.495706187265419,2.701900217735972,2.6544355323003166,2.7036417961412837,7.299794178130211,7.488991451669823,7.259715849211785,7.531832579519431,0.38882073013514507,0.23719896681072847,0.1967720172313954,0.20668724747444361,4.243948052618485,3.9404974968899076,3.7359231758719225,3.953460573923472,3.4446668556468714,3.785692921590642,3.7205646905712575,3.7850592530704033
selective,plastic,10,6,0.011388251742263059,0.008392260815763702,0.007661298364027406,1.3569944967477419,0.10249426568036753,2.624795721516521,2.6807380043213387,2.647391416979669,2.7122123062947896,7.566272647102516,7.451683599237393,7.25683292953255,7.5348753168221405,0.40096552073412817,0.23426092635231624,0.19980307119040203,0.20738034243958006,4.2707942308552385,3.94758078669071,3.764853057680585,3.9552824873436245,3.6964439369814053,3.7383637388989994,3.691782943042366,3.7869731719180963
selective,plastic,10,7,0.010744150377968682,0.008368562149608154,0.007767887825686976,1.283870536645505,0.09669735340171813,2.3285490079047158,2.7998178184269826,2.6920440772315612,2.69870619772423,6.967179000996428,7.640099913298565,7.273607815426146,7.540109280156533,0.3607131620105122,0.2309019395019492,0.19973193687023688,0.2088195520953764,4.070872318130824,3.9758923740223935,3.7220591271435715,3.978964182516408,3.257019844876115,3.8951094787781217,3.7512806251528117,3.7699646497355004
selective,frozen,4,0,0.0,0.0,0.0,nan,0.0,2.447369016268003,2.674100481746554,2.5687030490445886,2.648171701552202,7.373533206804088,7.590879990668239,7.274355117063129,7.531309011735816,0.0,0.0,0.0,0.0,3.7756590929341796,3.850817966474792,3.7170543952821378,3.8557894287141985,3.5978741138699086,3.7400620241934455,3.5573007217809915,3.675519583021618
