deviant_position,roving_block,repetition,mean_single_block_gfp_0_180_ms
1,43,1,1.5120282698536531
1,43,2,1.421104868970041
1,43,3,1.5396394335960657
1,43,4,1.4094811720159024
1,43,5,1.894506430970589
1,43,6,1.466440148287903
1,43,7,2.1283837660576843
1,43,8,1.291203612560171
1,43,9,1.3859759431978096
1,43,10,1.4117960648880705
1,43,11,1.2379484085087757
1,43,12,1.2261378357213497
1,43,13,1.4818811634874456
1,43,14,1.7718537272681327
1,43,15,1.8533285873883552
1,44,1,1.4091292004296072
1,44,2,1.3541594740404908
1,44,3,1.5420913749031608
1,44,4,1.6908206007224433
1,44,5,1.1467503097750795
1,44,6,1.1771276364323982
1,44,7,1.3633038738551202
1,44,8,1.904879862130626
1,44,9,1.5297395556580458
1,44,10,1.3854959241052522
1,44,11,1.341339826171364
1,44,12,1.3873965857821062
1,44,13,1.3078205276255415
1,44,14,1.8745088182223928
1,44,15,1.3163305844124014
1,45,1,1.686792314199465
1,45,2,1.8696484535613491
1,45,3,1.7185585209322454
1,45,4,1.6186505719313313
1,45,5,1.3123098370471749
1,45,6,1.2333305580691554
1,45,7,1.4032646417822332
1,45,8,1.241555520125666
1,45,9,1.1978640716647957
1,45,10,1.523425338781654
1,45,11,1.5815709421218676
1,45,12,0.891093279117408
1,45,13,0.7242851626289689
1,45,14,1.2443265213734955
1,45,15,1.2279197201259051
1,46,1,1.5633982013989984
1,46,2,1.3154850576611872
1,46,3,1.501141841387401
1,46,4,0.9505630972861607
1,46,5,1.285812173817168
1,46,6,0.9769647656868604
1,46,7,1.1632496730695938
1,46,8,1.42335846181419
1,46,9,1.2696398368798751
1,46,10,1.479016776804138
1,46,11,1.9511822652895559
1,46,12,1.495713589739083
1,46,13,1.7398226457993204
1,46,14,1.4612832667341609
1,46,15,1.4111649019996986
1,47,1,1.8389658739602295
1,47,2,2.0985962946594534
1,47,3,1.538051178050523
1,47,4,1.4887466170523356
1,47,5,1.523456735668126
1,47,6,1.386792306118769
1,47,7,1.14336055373026
1,47,8,1.489696916218951
1,47,9,1.430591260178762
1,47,10,1.3790143409481987
1,47,11,1.470886698439355
1,47,12,1.2461307252457987
1,47,13,1.6376811270068923
1,47,14,1.581063027105846
1,47,15,1.3931398613002748
1,48,1,1.6279223541070413
1,48,2,1.43770241232118
1,48,3,1.2339740285627412
1,48,4,0.9659941320202772
1,48,5,0.8510030110492213
1,48,6,1.425974937928421
1,48,7,1.225483996330713
1,48,8,0.9143051674630103
1,48,9,1.6713459395536878
1,48,10,1.3317048092326718
1,48,11,1.7829826755214258
1,48,12,1.4615461054203258
1,48,13,0.8918213528815329
1,48,14,1.4059811847092458
1,48,15,1.4321913556404513
1,49,1,1.4961473831903915
